标题,价格,价格区间,品牌,笔记本类型,省份,城市,销量,店铺
2024新品HP惠普战66六代七代笔记本酷睿Ultra处理器2050独显25K高性,3849.0,3000-5000元,惠普,其他类型,江苏,南京,41.0,惠普推星专卖店
HP惠普 光影精灵10 游戏本 光影精灵9 156寸16寸电竞笔记本电脑,4770.0,3000-5000元,惠普,游戏本,四川,成都,3.0,成都品牌电脑批发
Dell戴尔 灵越 14pro手提商务办公轻薄本女士笔记本电脑粉色学生,2543.87,3000元以下,戴尔,轻薄本,广东,深圳,1000.0,戴尔笔记本品牌店
Asus华硕ROG玩家国度幻16魔霸新锐笔记本i9设计枪神7Plus游戏电脑,5788.0,5000-7000元,华硕,游戏本,重庆,未知,16.0,墨蓝优品数码商城
MECHREVO机械革命 深海幽灵 z3 旷世极光Pro 2024游戏笔记本电脑,4999.0,3000-5000元,机械革命,游戏本,湖北,武汉,100.0,机革电竞游戏本之家
2024新品联想 拯救者G5000 酷睿i7 拯救者升级版156英寸独显电竞玩家,6488.25,5000-7000元,联想,其他类型,江苏,南京,23.0,联想冉创专卖店
MECHREVO机械革命旷世g笔记本电脑e游戏极光16pro蛟龙无界本4060,2485.87,3000元以下,机械革命,游戏本,广东,湛江,200.0,艾克数码商城
Xiaomi小米 RedmiBook Pro 1415商务办公学习i7游戏笔记本电脑,2181.87,3000元以下,小米,游戏本,江西,南昌,200.0,鑫宇科技数码品牌店
华硕天选55Pro 2024款14代酷睿i9独显4060游戏本学生笔记本电脑,5888.0,5000-7000元,华硕,游戏本,河南,郑州,400.0,豫硕数码商城
IP65双屏三屏全加固工业三防笔记本电脑工业移动工作站服务器电脑,23800.0,20000元以上,其他品牌,其他类型,广东,东莞,4.0,鑫控特种计算机
HP惠普 战系列战66五代六代锐龙轻薄商务便携女学生笔记本电脑,2782.87,3000元以下,惠普,轻薄本,江西,南昌,500.0,鑫皓科技品牌电脑店
Lenovo联想 小新 Pro16pro4锐龙版轻薄本办公酷睿i5笔记本电脑,3699.0,3000-5000元,联想,轻薄本,北京,未知,63.0,联想正品自营店
23新品HP惠普 锐Pro 14英寸轻薄便携笔记本电脑锐龙标压R5 25K屏120Hz高刷屏AI高性能学生办公本旗舰店,3899.0,3000-5000元,惠普,轻薄本,广东,广州,500.0,HP惠普商用旗舰店
顺丰速发HP惠普锐14轻薄商务办公笔记本14英寸AMD锐龙版R7 R5八核处理器高色域学生网课便捷手提电脑275,3999.0,3000-5000元,惠普,轻薄本,江苏,南京,10.0,苏宁易购官方旗舰店
LG gram17英寸超轻薄本笔记本电脑2024新款英特尔酷睿Ultra7155H高性,9693.42,9000-10000元,其他品牌,轻薄本,北京,未知,21.0,LG天恩志兴专卖店
新品热卖联想小新Pro AI元启 联想小新Pro16 锐龙2024 16英寸轻薄本笔记本电脑 学生办公便携本,6799.0,5000-7000元,联想,轻薄本,北京,未知,68.0,来酷智生活旗舰店
陈泽电脑评测 联想拯救者Y7000P 2024 R7000电竞游戏本笔记本电脑,6599.0,5000-7000元,联想,游戏本,北京,未知,21.0,陈泽电脑评测
联想ThinkBook 1416 锐龙R78845HUltra7 办公游戏笔记本电脑,3299.0,3000-5000元,联想,游戏本,浙江,杭州,500.0,优惠数码商城
ROG幻16 Air 2024款星空版翻转版办公轻薄高性能设计游戏笔记本,9850.0,9000-10000元,玩家国度,轻薄本,湖北,武汉,100.0,武汉电竞自营店
2024爆款游戏本HP惠普光影精灵10暗影精灵13代英特尔酷睿i7 RTX4060笔记本电脑暗夜精灵设计游戏本1938,5499.0,5000-7000元,惠普,游戏本,江苏,南京,55.0,苏宁易购官方旗舰店
联想拯救者23款R7000PY7000P 156英寸酷睿i7游戏笔记本电脑,3800.0,3000-5000元,联想,游戏本,安徽,亳州,35.0,华中无双数码
联想拯救者Y7000PR9000电竞学生游戏i5设计办公i7高配笔记本电脑,2993.87,3000元以下,联想,游戏本,湖北,武汉,400.0,海王电脑数码商行
2024款七彩虹隐星P15笔记本电脑4060将星x17ati7i5游戏本x15xs,3650.9,3000-5000元,其他品牌,游戏本,广东,湛江,46.0,严选优品数码a
Apple苹果M2芯片MacBook Pro13寸系列笔记本电脑未拆封,6588.0,5000-7000元,苹果,其他类型,广东,广州,87.0,星铭数码营
华硕无畏14pro15pro 16轻薄便携网课无畏pro14独显3050笔记本电脑,3339.0,3000-5000元,华硕,轻薄本,北京,未知,64.0,华硕游戏笔记本自营店
Lenovo联想 拯救者 Y7000P电竞学生游戏本轻薄i7高配笔记本电脑,1994.87,3000元以下,联想,轻薄本,广东,广州,100.0,佳惠数码笔记本店
Apple苹果13英寸15英寸MacBook Air M1 M2芯片超薄办公笔记本电脑,4100.05,3000-5000元,苹果,其他类型,广东,广州,74.0,苹果Mac store官翻企业店
2024游戏爆款HP惠普暗影精灵9光影精灵9英特尔酷睿RTX4060设计学习办公游戏笔记本电脑官方旗舰店,6099.0,5000-7000元,惠普,游戏本,浙江,杭州,400.0,喵速达电器官方旗舰店
小米Redmi Book 14 12代酷睿标压2023新品28K120hz高清高刷屏 高性能轻薄本笔记本电脑720,3499.0,3000-5000元,小米,轻薄本,北京,未知,46.0,苏宁易购官方旗舰店
ROG玩家国度魔霸新锐2023华硕4060魔霸7plus超能版4070笔记本电脑,8399.0,7000-9000元,华硕,其他类型,北京,未知,91.0,华硕游戏笔记本自营店
ROG枪神88Plus超竞版2024款笔记本电脑游戏本4060 4090满血电竞,11249.0,10000-20000元,玩家国度,游戏本,安徽,合肥,49.0,ROG玩家国度官企店
华硕天选5 Pro4 锐龙新品R9 酷睿 RTX4060电竞游戏笔记本电脑,5429.0,5000-7000元,华硕,游戏本,湖北,武汉,19.0,华中华硕电脑商城
小米RedmiBook Pro1416 2024款红米酷睿ultra轻薄小米笔记本电脑,3099.0,3000-5000元,小米,轻薄本,四川,成都,200.0,祥域科技
机械革命翼龙15pro锐龙满血版4060游戏24款R7电脑电竞学生笔记本,3639.0,3000-5000元,机械革命,游戏本,重庆,未知,27.0,墨蓝优品数码商城
ROG玩家国度幻16Air 2024酷睿Ultra9 16英寸设计师游戏笔记本电脑,12888.0,10000-20000元,玩家国度,游戏本,北京,未知,34.0,北京电竞商城
24款联想拯救者R9000P Y9000P满血4060学生电竞游戏笔记本电脑 白,9149.0,9000-10000元,联想,游戏本,北京,未知,12.0,联想笔记本店
Lenovo联想 小新 联想小新141516 2024款 轻薄本 笔记本电脑,3399.0,3000-5000元,联想,轻薄本,江苏,南京,400.0,联想笔记本特惠商城
Hasee神舟战神Z7Z8Z9S8G8R9G9TX8游戏RTX406050笔记本电脑,3599.0,3000-5000元,神舟,游戏本,上海,未知,34.0,博创科技数码品牌店
2024款Apple苹果MacBook Air M3M2M1笔记本电脑136 133英寸定制,4820.0,3000-5000元,苹果,其他类型,江苏,南京,400.0,囧人数码
Dell戴尔游匣G15G16 2023款 13代i7锐龙吃鸡3060游戏笔记本电脑,3410.0,3000-5000元,戴尔,游戏本,江西,南昌,200.0,品牌电脑商行top店
Apple苹果 13寸超薄MacBook Air苹果笔记本电脑办公设计原装正品,1174.87,3000元以下,苹果,其他类型,北京,未知,900.0,信诚数码苹果电脑老店
机械革命无界14Pro无界1416Code01学生轻薄本办公笔记本电脑2024,2339.0,3000元以下,机械革命,轻薄本,上海,未知,60.0,若万数码科技品牌店
24新品2024款联想小新16小新14 2024款锐龙R7 8845H  AI高能本轻薄本办公学生笔记本电脑 1416英寸,3998.75,3000-5000元,联想,轻薄本,北京,未知,33.0,联想艾克兰斯专卖店
Hasee神舟 战神 Z8D6T8S8G8D6Z7RTX4060神州游戏笔记本电脑,3288.0,3000-5000元,神舟,游戏本,上海,未知,300.0,神舟电脑战神店
Lenovo联想Thinkbook14新款16P轻薄RTX2050高刷14P笔记本电脑,2999.0,3000元以下,联想,轻薄本,浙江,杭州,100.0,联想正品一店
联想ThinkPad E14E15酷睿版学生商务办公笔记本电脑支持单位采购,2258.0,3000元以下,联想,其他类型,江西,南昌,300.0,联想正品联保商行
戴尔游匣G1516酷睿13代i57独显4060学生办公电竞游戏笔记本电脑,3499.0,3000-5000元,戴尔,游戏本,江苏,南京,81.0,欣潮数码科技
40系新品 Hasee神舟 战神S8 i712650HRTX4060独显直连 游戏本,3988.0,3000-5000元,神舟,游戏本,河北,廊坊,800.0,神舟首都号
华硕天选5 Pro酷睿版14代4060 4070游戏电竞学生设计师笔记本电脑,5149.0,5000-7000元,华硕,游戏本,浙江,杭州,37.0,全新正品笔记本电脑商城
Apple苹果2021款MacBook Pro13寸i7设计学习商务游戏笔记本电脑M1,2512.89,3000元以下,苹果,游戏本,广东,广州,300.0,MacFans倶楽部 苹果原装笔记本电脑
12期免息联想ThinkPad T14pNeo14  2024新款酷睿Ultra79 14英寸超轻薄商务办公独显笔记本电脑官方旗舰,4499.0,3000-5000元,联想,轻薄本,福建,厦门,100.0,thinkpad新启联专卖店
2024旗舰新品HP惠普 spectre X360 可选英特尔Evo酷睿Ultra7 Arc锐炫显卡翻转触控笔记本电脑惠普官方店,10399.0,10000-20000元,惠普,其他类型,广东,广州,68.0,惠普中国官方旗舰店
24期免息联想ThinkBook16 Ai酷睿Ultra57锐龙R7 2024新款16英寸游戏本笔记本电脑轻薄便携学生商务办公,5099.0,5000-7000元,联想,轻薄本,福建,厦门,86.0,thinkpad恒瀚专卖店
2024新品HP惠普 暗影精灵10Slim 14代酷睿i914900HX RTX4060 16,10799.0,10000-20000元,惠普,其他类型,北京,未知,2.0,惠普锐博正业专卖店
ROG枪神7 超竞版 13代酷睿i9 16英寸星云屏RTX4080RTX4090显卡游戏笔记本电脑玩家国度官方,17769.0,10000-20000元,玩家国度,游戏本,浙江,宁波,38.0,ASUS华硕旗舰店
Asus华硕顽石12代超强四核学生商务办公女生轻薄手提笔记本电脑苏宁易购官方旗舰店1634,1999.0,3000元以下,华硕,轻薄本,江苏,南京,300.0,苏宁易购官方旗舰店
联想ThinkBook 16 14 2024 AIPC 标压便携轻薄办公笔记本电脑,4888.0,3000-5000元,联想,轻薄本,上海,未知,96.0,上海thinkpad直销实体店
ROG玩家国度魔霸新锐2024款魔霸7plus超能版笔记本电脑4060游戏本,9299.0,9000-10000元,玩家国度,游戏本,安徽,合肥,100.0,ROG玩家国度官企店
2023新款 Apple苹果 MacBook Pro16 英寸M3笔记本电脑M2国行定制,12000.0,10000-20000元,苹果,其他类型,北京,未知,200.0,囧人数码
Acer宏碁蜂鸟非凡S3 英特尔Evo平台 酷睿i5  高色域轻薄便携本商务办公女生宏基手提笔记本电脑,3799.0,3000-5000元,宏碁,轻薄本,广东,广州,48.0,acer宏碁旗舰店
24期免息轻薄本HP惠普星Book14青春版锐龙13代i5笔记本电脑学生女生轻薄办公本官方旗舰店1938,2999.0,3000元以下,惠普,轻薄本,江苏,南京,73.0,苏宁易购官方旗舰店
Lenovo联想小新Pro16 Pro14轻薄学生商务办公笔记本游戏设计电脑,2888.0,3000元以下,联想,轻薄本,江西,南昌,75.0,品牌笔记本电脑特价店
华硕灵耀14双屏 2024款灵耀X双屏 创6 双触控屏AI商务笔记本电脑,8699.0,7000-9000元,华硕,其他类型,上海,未知,77.0,Asus华硕笔记本自营商城
Lenovo联想 小新 AIR1415学生设计办公轻薄笔记本电脑小新1416,2348.0,3000元以下,联想,轻薄本,湖北,武汉,400.0,联想品牌笔记本电脑
联想拯救者Y9000X2023 2024冰魄白轻薄游戏电竞笔记本电脑官方,8698.0,7000-9000元,联想,轻薄本,北京,未知,100.0,联想拯救者游戏本商城
Dell戴尔 G15 5530 G16酷睿i713650HX 4060学生游戏本电脑,5948.0,5000-7000元,戴尔,游戏本,四川,成都,26.0,成都678数码商城
新品HP惠普 暗影精灵9 光影精灵9 可选13代i7酷睿RTX4060电竞游戏本161英寸高性能设计笔记本电脑,4693.87,3000-5000元,惠普,游戏本,北京,未知,100.0,惠普圣东方国信专卖店
ThinkPad E14系列 i5联想E15 E490 E480 E590办公商务笔记本电脑,1401.37,3000元以下,联想,其他类型,江苏,南京,86.0,老表数码
ThinkPad P50 i7 E14联想笔记本电脑A485 T560 W540商务办公轻薄,800.0,3000元以下,联想,轻薄本,广东,广州,200.0,宏业电脑科技
热卖促销HP惠普 战99锐龙版R7标压156英寸可选RTX2000ada独显25K 120Hz 3D建模制图 设计师笔记本电脑,5499.0,5000-7000元,惠普,其他类型,北京,未知,65.0,惠普锐博正业专卖店
二手ThinkPad联想T450ST460S超薄笔记本电脑IBM办公T470ST480S,780.12,3000元以下,联想,其他类型,广东,广州,2000.0,科品数码优品 二手笔记本
Alienware外星人笔记本电脑M18R1 M18R2 M16R1 R2 X16R1美行X14R2,13500.0,10000-20000元,外星人,其他类型,四川,成都,100.0,腾业电脑
联想小新Pro14小新Pro16 2023款学生设计办公轻薄便携笔记本电脑,2393.87,3000元以下,联想,轻薄本,上海,未知,87.0,联想笔记本电脑科技
3060华硕游戏本i7笔记本电脑3050飞行堡垒吃鸡天选4060联想大学生,2086.0,3000元以下,联想,游戏本,广东,深圳,0.0,品牌游戏本直销店
2023新款Apple苹果MacBook Pro 14 16英寸M3笔记本电脑国行定制,10160.0,10000-20000元,苹果,其他类型,江苏,南京,400.0,囧人数码
HP惠普星14星15青春版 英特尔12代酷睿i3i5i7学生学习网课游戏办公女生轻薄便携笔记本电脑惠普官方官网,2798.0,3000元以下,惠普,轻薄本,江苏,南京,100.0,惠普一方专卖店
华为Matebook D16 2023新款16英寸全面屏十三代笔记本电脑,3527.0,3000-5000元,华为,其他类型,北京,未知,30.0,鼎立数码电商
HP惠普 战x 锐龙版商务笔记本电脑 23年新款 ZEN4可选R9处理器学生游戏商务办公超薄手提电脑官网官方旗舰店,5499.0,5000-7000元,惠普,游戏本,广东,广州,100.0,HP惠普商用旗舰店
3060华硕游戏笔记本大学生电脑i7飞行堡垒吃鸡4060天选4060联想i5,2276.0,3000元以下,联想,游戏本,广东,深圳,0.0,品牌游戏本直销店
23款Apple苹果 MacBook Pro 16寸 M3 PRO M3 MAX笔记本电脑定制,16699.0,10000-20000元,苹果,其他类型,上海,未知,100.0,老徐的数码店
联想ThinkPad L14X13轻薄办公L490L480商务笔记本电脑 Windows7,1850.0,3000元以下,联想,轻薄本,安徽,合肥,36.0,华南科技直销店
支持WIN7联想ThinkPadX13X390商务L14 L490国行L13笔记本电脑,2149.0,3000元以下,联想,其他类型,湖北,武汉,82.0,创想科技笔记本电脑
2024新款Apple苹果136寸MacBookAir M3 M2 153寸定制现货国行,4899.0,3000-5000元,苹果,其他类型,四川,成都,400.0,灵兴数码企业店
联想 E14 E15 E490 E480 E470 E580 E590 E570笔记本电脑,899.0,3000元以下,联想,其他类型,上海,未知,57.0,朝阳科技数码城
Lenovo联想 ThinkBook16P 酷睿i9RTX406016英寸轻薄全能本,9899.0,9000-10000元,联想,轻薄本,安徽,合肥,77.0,大康评测
ThinkPad X1 Carbon 2024 X1Nano Yoga 高端轻薄商务办公联想电脑,5488.0,5000-7000元,联想,轻薄本,上海,未知,100.0,上海thinkpad直销实体店
Thinkpad X220 X230便携125寸超级本便携商务办公联想笔记本电脑,423.0,3000元以下,联想,其他类型,北京,未知,5.0,中鼎数码二手笔记本电脑
顺丰包邮Apple苹果 14英寸MacBook Pro笔记本电脑M2 ProMax芯片专业设计剪辑视频2023款,14579.05,10000-20000元,苹果,其他类型,上海,未知,77.0,乐自由数码专营店
联想ThinkPad X220 X230 X240 X250 X260 X270便携办公笔记本电脑,449.0,3000元以下,联想,其他类型,北京,未知,100.0,本之星数码二手笔记本电脑
联想ThinkPad  X280 X260 X270酷睿轻薄便携学生办公笔记本电脑,560.0,3000元以下,联想,轻薄本,北京,未知,5.0,聚丰汇电器店二手笔记本电脑
小米Redmi Book Pro 1416可选 2024英特尔酷睿Ultra5ultra7学习办公轻薄本笔记本电脑官方旗舰店,5699.0,5000-7000元,小米,轻薄本,北京,未知,1000.0,小米官方旗舰店
华为MateBook X Pro 2023 微绒典藏版 笔记本电脑 13代英特尔酷睿 31K原色触控屏 轻薄商务办公本官方旗舰,7999.0,7000-9000元,华为,轻薄本,广东,深圳,2000.0,华为官方旗舰店
ThinkPad ThinkBook 14 i513500H 14英寸轻薄办公笔记本电脑865,4599.0,3000-5000元,联想,轻薄本,福建,厦门,34.0,苏宁易购直营企业店
七彩虹将星X15 X17 12代13代 4050 4060 I5I7 隐星P15 P16 电竞游,3700.0,3000-5000元,其他品牌,其他类型,辽宁,沈阳,500.0,优选数码商城
回力双肩包男士电脑包大学生背包书包时尚女大容量通勤旅行包潮流,89.0,3000元以下,其他品牌,其他类型,江苏,镇江,1000.0,回力箱包旗舰店
笔记本租赁台式游戏主机出租苹果电脑轻薄办公考试建模设计免押金,29.1,3000元以下,苹果,轻薄本,上海,未知,4000.0,思涵科技
电玩汽水大容量双肩包男大学生高中书包女旅行背包通勤商务电脑包,125.13,3000元以下,其他品牌,其他类型,广东,广州,8000.0,电玩汽水GameSoda
WD西部数据移动硬盘1T机械手机电脑大容量4t高速硬盘2t笔记本外接,429.85,3000元以下,机械革命,其他类型,北京,未知,100.0,西部数据仙石专卖店
三星990EVO 1T2T m2 SSD固态硬盘pcie4050华硕笔记本台式电脑,699.0,3000元以下,华硕,其他类型,浙江,宁波,19.0,ASUS华硕旗舰店
埋不烂霁山 CORDURA电脑包男女通勤书包大地色旅游双肩背包S2028,459.0,3000元以下,其他品牌,其他类型,广东,广州,400.0,MYBRANDORIGINAL埋不烂
4K高清电脑摄像头家用台式机上网课专用直播usb外置笔记本摄影头,13.8,3000元以下,其他品牌,其他类型,广东,深圳,1000.0,Neitooh旗舰店
韵艺150W笔记本电脑专用充电宝150W大功率无线快充便携移动电源27000毫安手机大容量充电宝手动调压520V,428.0,3000元以下,其他品牌,其他类型,广东,深圳,24.0,韵艺旗舰店
MICHAEL KORS Hudson 男士电脑包双肩背包,1768.0,3000元以下,其他品牌,其他类型,浙江,嘉兴,23.0,MICHAEL KORS官方旗舰店
FILA 斐乐官方男士背包2024夏新款商务休闲时尚双肩包书包电脑包,829.0,3000元以下,其他品牌,其他类型,福建,泉州,36.0,FILA官方旗舰店
正品牛津布公文包男包轻奢尼龙帆布单肩包手提包电脑包商务休闲,1300.87,3000元以下,其他品牌,其他类型,福建,龙岩,300.0,轻奢时尚名品
小米双肩包卷边休闲背包大容量电脑包潮流旅行时尚简约商务包,229.0,3000元以下,小米,其他类型,北京,未知,400.0,小米官方旗舰店
Leff休闲双肩包女2024新款时尚百搭通勤背包学生14寸笔记本电脑包,304.0,3000元以下,其他品牌,其他类型,广东,广州,44.0,leff旗舰店
Colins Keirs双肩包女大容量156寸电脑包通勤尼龙布背包女士简约,318.0,3000元以下,其他品牌,其他类型,广东,广州,600.0,ColinsKeirs旗舰店
官方正品Jumper中柏win11平板电脑2024新款二合一带键盘可接pc笔记本windows商务办公专用小101英寸,993.87,3000元以下,其他品牌,二合一笔记本,广东,深圳,64.0,jumper中柏专卖店
安踏双肩包男女同款大容量旅行双肩包通勤背包电脑包学院风书包,229.0,3000元以下,其他品牌,其他类型,福建,泉州,22.0,安踏官方网店
FILA 斐乐官方女包背包2024夏季新款休闲翻盖大容量双肩包电脑包,369.0,3000元以下,其他品牌,其他类型,福建,泉州,47.0,fila斐乐顶点专卖店
璇姐精选斯凯奇双肩包官方旗舰新款男包女包运动包电脑包,119.0,3000元以下,其他品牌,其他类型,江苏,连云港,23.0,幸运叶子官方旗舰店
山水60B电脑台式电脑音响蓝牙无线重低音炮家用家庭笔记本木音箱,572.87,3000元以下,其他品牌,其他类型,广东,东莞,1000.0,sansui山水专卖
tomtoc x 吉考斯工业双肩包男款休闲背包潮流电脑包书包通勤包T64,369.0,3000元以下,其他品牌,其他类型,广东,东莞,1000.0,tomtoc旗舰店
男士双肩包系列弹道尼龙商务电脑包旅行背包大容量防水背包,314.87,3000元以下,其他品牌,其他类型,广东,广州,900.0,尼龙箱包
正品瑞典北极狐双肩包kanken书包男女电脑背包mini运动包妈咪包,156.0,3000元以下,其他品牌,其他类型,广东,广州,200.0,Fjalraven奥莱折扣店
睿量充电宝20000毫安自带线超大容量65w笔记本电脑快充飞机可携带适用苹果MacBook华为联想小米手机移动电源,239.0,3000元以下,联想,其他类型,广东,深圳,37.0,remax睿量旗舰店
马克华菲男生斜挎包大容量单肩包邮差包背包电脑包手提公文包男包,163.87,3000元以下,其他品牌,其他类型,广东,广州,4000.0,马克华菲箱包旗舰店
联想ThinkPad X13 2022新款商务轻薄便携笔记本,6199.0,5000-7000元,联想,轻薄本,上海,未知,46.0,ThinkPad志旋专卖店
适用苹果macbookair笔记本macbook电脑包联想小新pro14华为ipad平板air13手提公文16寸通勤156男女士2024款,54.32,3000元以下,联想,其他类型,上海,未知,7000.0,玩家数码专营店
卡帝乐鳄鱼商务手提包单肩包斜挎电脑包男真皮高端软皮公文包男包,298.0,3000元以下,其他品牌,其他类型,福建,泉州,200.0,鳄鱼卡帝乐轻奢高端品
OGORUS无线鼠标蓝牙静音无声笔记本充电式电脑游戏办公无限滑鼠,57.8,3000元以下,其他品牌,游戏本,广东,深圳,400.0,鑫聚煌数码专营店
自营三星870EVO固态硬盘QVO电脑1tb笔记本台式机25英寸SATA,359.0,3000元以下,其他品牌,其他类型,浙江,杭州,200.0,天猫国际自营全球超级店
美国WP无线蓝牙鼠标静音垂直立式人体工学电脑笔记本办公,168.0,3000元以下,其他品牌,其他类型,广东,东莞,500.0,W&P旗舰店
双肩包大容量男士休闲防水旅行包电脑包背包初高中大学生轻便书包,36.9,3000元以下,其他品牌,其他类型,河北,保定,3000.0,jinshiwq旗舰店
Microsoft微软 Surface Pro 7平板电脑二合一笔记本Windows系统,2293.87,3000元以下,微软,二合一笔记本,广东,深圳,25.0,雅硕数码
2024新款复古真皮剑桥包女大容量斜挎学院风高级感14寸电脑包书包,399.0,3000元以下,其他品牌,其他类型,广东,广州,400.0,La Seine塞纳
2024新款笔记本电脑包适用联想小新air14寸M2苹果macbook pro133华为matebook16女手提华硕戴尔156男公文包,24.8,3000元以下,联想,其他类型,浙江,宁波,10000.0,泰克森宇乐专卖店
背包男士双肩包商务通勤大容量156寸电脑包高中大学生书包女旅行,153.87,3000元以下,其他品牌,其他类型,广东,广州,500.0,MashaLanti箱包旗舰店
La Seine塞纳原创头层牛皮14寸电脑包双肩包女真皮大容量通勤背包,379.0,3000元以下,其他品牌,其他类型,广东,广州,800.0,La Seine塞纳工厂店
小米商务双肩包男女士电脑包学生书包简约时尚潮流旅行大容量背包,160.0,3000元以下,小米,其他类型,上海,未知,20.0,XiaoM只为商务出行
电脑音响台式家用有线音箱便携迷你小型超重低音炮笔记本桌面专用,9.8,3000元以下,其他品牌,其他类型,广东,深圳,40000.0,惊奇小熊旗舰店
英菲克PB1静音无声有线鼠标游戏电竞宏男女生办公台式电脑笔记本,132.3,3000元以下,其他品牌,游戏本,浙江,金华,300.0,朗特赫尔数码配件旗舰店
Anything Studio双肩包背包电脑包英伦经典 可放1415156寸电脑,1388.0,3000元以下,其他品牌,其他类型,浙江,宁波,400.0,Anything Studio旗舰店
电玩汽水高中大学生书包男大容量双肩包女旅行登山背包通勤电脑包,144.53,3000元以下,其他品牌,其他类型,广东,广州,900.0,电玩汽水GameSoda
